THỜI KHÓA BIỂU DỰ KIẾN K70 - CẬP NHẬT NGÀY 29/08/2025,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Kỳ,Trường_Viện_Khoa,Mã_lớp,Mã_lớp_kèm,Mã_HP,Tên_HP,Tên_HP_Tiếng_Anh,Khối_lượng,Ghi_chú,Buổi_số,Thứ,Thời_gian,BĐ,KT,Kíp,Tuần,Phòng,Cần_TN,SLĐK,SL_Min,SL_Max,Trạng_thái,Loại_lớp,Đợt_mở,Mã_QL,TeachingType
20251,THKHSS,165128,165128,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),"Thực phẩm 01,02-K70C",1,5,1410-1550,3,4,Chiều,5-20,D5-405,TN,NULL,NULL,100,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165129,165129,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),"Thực phẩm 03,04-K70C",1,5,1410-1550,3,4,Chiều,5-20,D6-107,TN,NULL,NULL,100,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165142,165142,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),"Thực phẩm 05,06-K70C",1,5,1230-1400,1,2,Chiều,5-20,D5-405,TN,NULL,NULL,100,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,165143,165143,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),"Thực phẩm 07,08-K70C",1,5,1230-1400,1,2,Chiều,5-20,D6-107,TN,NULL,NULL,100,Đang xếp TKB,LT+BT,AB,CT CHUẨN,
20251,THKHSS,759259,759259,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M1-K70,1,2,0730-1145,2,6,Sáng,"7,8,9",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759260,759260,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M2-K70,1,2,0730-1145,2,6,Sáng,"7,8,9",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759261,759261,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M3-K70,1,3,0730-1145,2,6,Sáng,"7,8,9",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759262,759262,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M4-K70,1,3,0730-1145,2,6,Sáng,"7,8,9",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759263,759263,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M5-K70,1,4,0730-1145,2,6,Sáng,"7,8,9",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759264,759264,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M6-K70,1,4,0730-1145,2,6,Sáng,"7,8,9",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759265,759265,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M7-K70,1,5,0730-1145,2,6,Sáng,"7,8,9",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759266,759266,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M8-K70,1,5,0730-1145,2,6,Sáng,"7,8,9",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759267,759267,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M9-K70,1,6,0730-1145,2,6,Sáng,"7,8,9",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759268,759268,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M10-K70,1,6,0730-1145,2,6,Sáng,"7,8,9",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759269,759269,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M11-K70,1,2,0730-1145,2,6,Sáng,"11,12,13",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759270,759270,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M12-K70,1,2,0730-1145,2,6,Sáng,"11,12,13",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759271,759271,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M13-K70,1,3,0730-1145,2,6,Sáng,"11,12,13",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759272,759272,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M14-K70,1,3,0730-1145,2,6,Sáng,"11,12,13",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759273,759273,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M15-K70,1,4,0730-1145,2,6,Sáng,"11,12,13",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759274,759274,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M16-K70,1,4,0730-1145,2,6,Sáng,"11,12,13",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759275,759275,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M17-K70,1,5,0730-1145,2,6,Sáng,"11,12,13",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759276,759276,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M18-K70,1,5,0730-1145,2,6,Sáng,"11,12,13",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759277,759277,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M19-K70,1,6,0730-1145,2,6,Sáng,"11,12,13",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759278,759278,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M20-K70,1,6,0730-1145,2,6,Sáng,"11,12,13",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759279,759279,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M21-K70,1,2,0730-1145,2,6,Sáng,"14,15,16",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
20251,THKHSS,759280,759280,BF2511,Nhập môn Công nghệ thực phẩm,Introduction to Food Technology,2(2-0-1-4),M22-K70,1,2,0730-1145,2,6,Sáng,"14,15,16",TTB4,NULL,NULL,NULL,15,Đang xếp TKB,TN,AB,CT CHUẨN,
